Slice,Categoria,n,n_pos,Precision,Recall,F1,F1_CI_low,F1_CI_high,PR_AUC,PR_AUC_CI_low,PR_AUC_CI_high,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,Brier
ag,Alto_Ag,145,52,0.9607843137254902,0.9423076923076923,0.9514563106796117,0.9052506265664161,0.9896907216494846,0.9936670920833817,0.9796493336557842,1.0,0.9956575682382134,0.9858212289744981,1.0,0.025071505457162857
ag,Bajo_Ag,141,0,,,,,,,,,,,,
ag,Medio_Ag,141,0,,,,,,,,,,,,
au_real,Alto_Au,144,52,0.9607843137254902,0.9423076923076923,0.9514563106796117,0.8988534739738592,0.9906542056074766,0.9936670920833817,0.9813018928885012,1.0,0.9956103678929766,0.9865203321020932,1.0,0.02543361857533455
au_real,Medio_Au,95,0,,,,,,,,,,,,
au_real,Bajo_Au,188,0,,,,,,,,,,,,
cuadrante,NO,103,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,1.0,0.005783101078122854
cuadrante,SO,110,21,0.9130434782608695,1.0,0.9545454545454546,0.8823529411764706,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,1.0,0.007849686779081821
cuadrante,SE,103,6,1.0,0.8333333333333334,0.9090909090909091,0.6,1.0,0.9242424242424242,0.6666666666666666,1.0,0.9914089347079037,0.9642488954344625,1.0,0.011414995416998863
cuadrante,NE,111,10,1.0,0.8,0.8888888888888888,0.6666666666666666,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,0.009607509709894657
error,TP,49,49,,,,,,,,,,,,
error,TN,373,0,,,,,,,,,,,,
prob,Media_Conf,10,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.36363636363636365,0.9323076923076921,0.9214285714285713,0.7080952380952382,1.0,0.7619047619047619,0.3828571428571433,1.0,0.2309815138578415
prob,Baja_Conf,373,1,0.0,0.0,0.0,0.0,0.0,0.0625,0.043478260869565216,0.23076923076923078,0.9596774193548387,0.9406687550083777,0.9763440860215052,0.0033937145490199327
prob,Alta_Conf,44,44,,,,,,,,,,,,
profundidad,Superficial,143,17,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,1.0,0.003988041542470455
profundidad,Medio,139,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.88,1.0,0.9983333333333332,0.9899648660518225,1.0000000000000002,0.9996376811594203,0.9978947368421053,1.0,0.008771305903792381
profundidad,Profundo,145,11,0.9,0.8181818181818182,0.8571428571428571,0.6247596153846156,1.0,0.9534580252283602,0.825,1.0,0.9938941655359567,0.9782896289304466,1.0,0.013184837996959686
